epoch,loss,mse,val_loss,val_mse
0,0.0191251952201128,0.0191251952201128,0.00659255450591445,0.00659255450591445
1,0.005667668767273426,0.005667668767273426,0.005122059490531683,0.005122059490531683
2,0.0045599984005093575,0.0045599984005093575,0.004307487979531288,0.004307487979531288
3,0.00394323980435729,0.00394323980435729,0.003964817151427269,0.003964817151427269
4,0.0034905229695141315,0.0034905229695141315,0.0037234053015708923,0.0037234053015708923
5,0.0031210388988256454,0.0031210388988256454,0.003298265626654029,0.003298265626654029
6,0.002814102917909622,0.002814102917909622,0.003196638310328126,0.003196638310328126
7,0.0025297452230006456,0.0025297452230006456,0.0029209780041128397,0.0029209780041128397
8,0.002375595271587372,0.002375595271587372,0.0027031770441681147,0.0027031770441681147
9,0.0021407948806881905,0.0021407948806881905,0.002603169996291399,0.002603169996291399
10,0.0020274072885513306,0.0020274072885513306,0.0026024451944977045,0.0026024451944977045
11,0.002034025266766548,0.002034025266766548,0.002952148672193289,0.002952148672193289
12,0.001867688843049109,0.001867688843049109,0.002422067802399397,0.002422067802399397
13,0.0018152408301830292,0.0018152408301830292,0.00267015490680933,0.00267015490680933
14,0.001666836440563202,0.001666836440563202,0.0023397149052470922,0.0023397149052470922
15,0.0015722628450021148,0.0015722628450021148,0.0023764190264046192,0.0023764190264046192
16,0.0015365708386525512,0.0015365708386525512,0.0023743009660393,0.0023743009660393
17,0.0015861132415011525,0.0015861132415011525,0.00225387723185122,0.00225387723185122
18,0.0014400823274627328,0.0014400823274627328,0.0021630097180604935,0.0021630097180604935
19,0.0013052021386101842,0.0013052021386101842,0.0021317116916179657,0.0021317116916179657
20,0.0013352785026654601,0.0013352785026654601,0.002397218020632863,0.002397218020632863
21,0.0012739242520183325,0.0012739242520183325,0.0022028135135769844,0.0022028135135769844
22,0.0012385874288156629,0.0012385874288156629,0.0023479179944843054,0.0023479179944843054
23,0.001164639717899263,0.001164639717899263,0.002197101479396224,0.002197101479396224
24,0.001096086110919714,0.001096086110919714,0.0021559984888881445,0.0021559984888881445
25,0.0010406054789200425,0.0010406054789200425,0.0022273052018135786,0.0022273052018135786
26,0.0013994962209835649,0.0013994962209835649,0.002236949512735009,0.002236949512735009
27,0.001046611461788416,0.001046611461788416,0.0020359084010124207,0.0020359084010124207
28,0.0011478392407298088,0.0011478392407298088,0.0019578710198402405,0.0019578710198402405
29,0.001190108829177916,0.001190108829177916,0.0021210210397839546,0.0021210210397839546
30,0.0010350903030484915,0.0010350903030484915,0.0024587691295892,0.0024587691295892
31,0.001089121913537383,0.001089121913537383,0.002010965719819069,0.002010965719819069
32,0.0009525019559077919,0.0009525019559077919,0.001925431308336556,0.001925431308336556
33,0.001340452115982771,0.001340452115982771,0.0028096861205995083,0.0028096861205995083
34,0.0010501075303182006,0.0010501075303182006,0.001980924280360341,0.001980924280360341
35,0.0008746885578148067,0.0008746885578148067,0.0020240203011780977,0.0020240203011780977
36,0.00095152179710567,0.00095152179710567,0.002914335345849395,0.002914335345849395
37,0.001134740305133164,0.001134740305133164,0.002158260205760598,0.002158260205760598
38,0.0008636128040961921,0.0008636128040961921,0.0019276731181889772,0.0019276731181889772
39,0.0008199330768547952,0.0008199330768547952,0.0018987319199368358,0.0018987319199368358
40,0.0009307095897383988,0.0009307095897383988,0.002753955079242587,0.002753955079242587
41,0.001244708662852645,0.001244708662852645,0.0019353360403329134,0.0019353360403329134
42,0.0008249377715401351,0.0008249377715401351,0.0018668920965865254,0.0018668920965865254
43,0.0009525546920485795,0.0009525546920485795,0.0019363596802577376,0.0019363596802577376
44,0.000797004671767354,0.000797004671767354,0.0019318314734846354,0.0019318314734846354
45,0.0007529169088229537,0.0007529169088229537,0.0019768753554672003,0.0019768753554672003
46,0.0007883718353696167,0.0007883718353696167,0.00187167979311198,0.00187167979311198
47,0.0010638261446729302,0.0010638261446729302,0.0021178910974413157,0.0021178910974413157
48,0.0009522574837319553,0.0009522574837319553,0.001977289095520973,0.001977289095520973
49,0.0007471673307009041,0.0007471673307009041,0.0018466825131326914,0.0018466825131326914
50,0.00071821449091658,0.00071821449091658,0.0019225197611376643,0.0019225197611376643
51,0.0007154821651056409,0.0007154821651056409,0.0018768762238323689,0.0018768762238323689
52,0.0008129478082992136,0.0008129478082992136,0.0020570699125528336,0.0020570699125528336
53,0.0007356653222814202,0.0007356653222814202,0.0019091350259259343,0.0019091350259259343
54,0.0008921353728510439,0.0008921353728510439,0.00205594371072948,0.00205594371072948
55,0.0009646897087804973,0.0009646897087804973,0.0029789793770760298,0.0029789793770760298
56,0.0010014279978349805,0.0010014279978349805,0.001956229330971837,0.001956229330971837
57,0.0007340364973060787,0.0007340364973060787,0.00198401533998549,0.00198401533998549
58,0.0006738582160323858,0.0006738582160323858,0.0018803373677656054,0.0018803373677656054
59,0.0006871435907669365,0.0006871435907669365,0.0019162442767992616,0.0019162442767992616
60,0.0006711095338687301,0.0006711095338687301,0.0018986661452800035,0.0018986661452800035
61,0.0006882001180201769,0.0006882001180201769,0.0019079508492723107,0.0019079508492723107
62,0.0006923250621184707,0.0006923250621184707,0.001958009786903858,0.001958009786903858
63,0.0007379685994237661,0.0007379685994237661,0.002190609695389867,0.002190609695389867
64,0.0013624277198687196,0.0013624277198687196,0.0022474033758044243,0.0022474033758044243
65,0.0008999520214274526,0.0008999520214274526,0.001961426343768835,0.001961426343768835
66,0.0007244159351103008,0.0007244159351103008,0.0018865438178181648,0.0018865438178181648
67,0.0006684862892143428,0.0006684862892143428,0.00195348565466702,0.00195348565466702
68,0.0007084629614837468,0.0007084629614837468,0.0019395260605961084,0.0019395260605961084
69,0.0006372446659952402,0.0006372446659952402,0.0019284664886072278,0.0019284664886072278
70,0.0006370960618369281,0.0006370960618369281,0.0019131959415972233,0.0019131959415972233
71,0.0006396275712177157,0.0006396275712177157,0.0019008766394108534,0.0019008766394108534
72,0.0006272962200455368,0.0006272962200455368,0.0018911196384578943,0.0018911196384578943
73,0.0008088998147286475,0.0008088998147286475,0.002303267130628228,0.002303267130628228
74,0.0010772376554086804,0.0010772376554086804,0.0019650841131806374,0.0019650841131806374
75,0.0006810660124756396,0.0006810660124756396,0.0018585763173177838,0.0018585763173177838
76,0.0006039154250174761,0.0006039154250174761,0.0018293237080797553,0.0018293237080797553
77,0.0005911201005801558,0.0005911201005801558,0.0018776506185531616,0.0018776506185531616
78,0.0005825436091981828,0.0005825436091981828,0.0018510303925722837,0.0018510303925722837
79,0.0005953165818937123,0.0005953165818937123,0.0019152589375153184,0.0019152589375153184
80,0.000687921536155045,0.000687921536155045,0.001864438527263701,0.001864438527263701
81,0.0007593255140818655,0.0007593255140818655,0.002241896465420723,0.002241896465420723
82,0.0006642802618443966,0.0006642802618443966,0.001924054929986596,0.001924054929986596
